Delegating Wallet Key from Mina,Wallet BP should send rewards to
B62qjWrka3sHmyX9E3LLk7DYwTkD3xpVxJVWeC1jWesvUCw98jzwLEb,B62qjWrka3sHmyX9E3LLk7DYwTkD3xpVxJVWeC1jWesvUCw98jzwLEb
B62qr11GnajdtFtYHLB25VfR2HisWw9gQTtswLT9UDuBDupwxnP8Qtm,B62qr11GnajdtFtYHLB25VfR2HisWw9gQTtswLT9UDuBDupwxnP8Qtm
B62qog6J6WmV7EG35JYwCoMjXGQKfMzDf882feobdM4XSTvd4TM7o4x,B62qog6J6WmV7EG35JYwCoMjXGQKfMzDf882feobdM4XSTvd4TM7o4x
B62qmQAFPta1Q3c7wXHxXRKnE3uWyBYZCLb8frdHEgavi3BbBVkpeC1,B62qmQAFPta1Q3c7wXHxXRKnE3uWyBYZCLb8frdHEgavi3BbBVkpeC1
B62qkLCr6WNbmpwmV3zLUM99J46WGpEJLcBbQEbQen2oXV9MKU8f9mL,B62qkLCr6WNbmpwmV3zLUM99J46WGpEJLcBbQEbQen2oXV9MKU8f9mL
B62qo41tpoLx87ag5BcocFD8QV5jQB18qw8jnNqKGz9KDXna7PT3DLi,B62qo41tpoLx87ag5BcocFD8QV5jQB18qw8jnNqKGz9KDXna7PT3DLi
B62qjFozcCaaeMNaAWrRT21JUsSaq47PYW8DZdySviwath3Mg8nyfCw,B62qjFozcCaaeMNaAWrRT21JUsSaq47PYW8DZdySviwath3Mg8nyfCw
B62qk8QpsgrR4d5NM9gxiiN2oiZSNznfeDbr1V5pFWa82nZy6iwKhfw,B62qk8QpsgrR4d5NM9gxiiN2oiZSNznfeDbr1V5pFWa82nZy6iwKhfw
B62qnJ58vM1du7EkL83EPtjN8wt1MXKC93Sbe6icpRhfLVgDg6xnVgA,B62qnJ58vM1du7EkL83EPtjN8wt1MXKC93Sbe6icpRhfLVgDg6xnVgA
B62qoERQaxigi8r2cjyUuQXicjcPbGZfjRkeUn5sedzYisjTBNtEddh,B62qoERQaxigi8r2cjyUuQXicjcPbGZfjRkeUn5sedzYisjTBNtEddh
B62qpBVRzjqFcbzMk3JAFdjruMAoqdHyHiE9XNyshZ5NjGo2gY7CxZz,B62qpBVRzjqFcbzMk3JAFdjruMAoqdHyHiE9XNyshZ5NjGo2gY7CxZz
B62qrr1TdC3LeN5F1Bgjxb1v4Pdxt6btzKL7sGTyLGNcydmagjsYsQi,B62qrr1TdC3LeN5F1Bgjxb1v4Pdxt6btzKL7sGTyLGNcydmagjsYsQi
B62qmanR1vreSJgKYZcHSiNrov8jvXShfcjioaBLpCGbr7vrt3DxZq9,B62qmanR1vreSJgKYZcHSiNrov8jvXShfcjioaBLpCGbr7vrt3DxZq9
B62qjCoLPn8iXHXq9ukNMhAfqn39o1MZKsAx3VrWFdu1pEbZZezJhJe,B62qjCoLPn8iXHXq9ukNMhAfqn39o1MZKsAx3VrWFdu1pEbZZezJhJe
B62qkZvsPhMjgYTiXLLGXWaFUCFGAexpR3v2z5ymXKEuZGVhub5ebNk,B62qkZvsPhMjgYTiXLLGXWaFUCFGAexpR3v2z5ymXKEuZGVhub5ebNk
B62qodbQJ5bnuY7j71eaYiiiq3XqYDgsBDJxkAhtzqBNpxAgskKdTc4,B62qodbQJ5bnuY7j71eaYiiiq3XqYDgsBDJxkAhtzqBNpxAgskKdTc4
B62qm4UyivsseKABrgJxS4AnoK4SX8b69o4DWrR9cJ8HRYGrNq65iEG,B62qm4UyivsseKABrgJxS4AnoK4SX8b69o4DWrR9cJ8HRYGrNq65iEG
B62qpcJd5eVzs6z4hs47nMQipXJdz3nEaEqbLStc8obzecfNPv5vAnV,B62qpcJd5eVzs6z4hs47nMQipXJdz3nEaEqbLStc8obzecfNPv5vAnV
B62qo8FPFHTQ2J5eaCK74yfsMRBFT5bnr2iPomWLv61iGpaufBop6Si,B62qo8FPFHTQ2J5eaCK74yfsMRBFT5bnr2iPomWLv61iGpaufBop6Si
B62qpGX4AkMb93fusVyC7CDNju7FUP1fFVbspw8o4sN8xbmsiKxgy7f,B62qpGX4AkMb93fusVyC7CDNju7FUP1fFVbspw8o4sN8xbmsiKxgy7f
B62qqLBQFF3oRGthJGnbZB9PEF8pvoxGcfBNUVtgXtH88VZE9KBoGKb,B62qqLBQFF3oRGthJGnbZB9PEF8pvoxGcfBNUVtgXtH88VZE9KBoGKb
